date,country,value
1950,India,43.838
2100,India,8.856
1950,China,41.049
2100,China,6.185
1950,United States,22.814
2100,United States,1.708
1950,Indonesia,5.191
2100,Indonesia,9.644
1950,Pakistan,43.716
2100,Pakistan,12.021
1950,Brazil,46.432
2100,Brazil,8.038
1950,Nigeria,45.613
2100,Nigeria,14.041
1950,Bangladesh,46.515
2100,Bangladesh,8.538
1950,Russia,28.804
2100,Russia,9.6
1950,Mexico,49.31
2100,Mexico,7.85
1950,Japan,28.343
2100,Japan,7.222
1950,Ethiopia,49.395
2100,Ethiopia,11.9
1950,Philippines,49.839
2100,Philippines,10.315
1950,Egypt,54.2
2100,Egypt,11.005
1950,Vietnam,38.822
2100,Vietnam,8.995
1950,Congo (DR),46.016
2100,Congo (DR),15.516
1950,Iran,50.139
2100,Iran,7.972
1950,Turkey,46.391
2100,Turkey,8.072
1950,Germany,16.222
2100,Germany,8.152
1950,Thailand,43.835
2100,Thailand,6.88
