group,sex,gender,value
0-4,0,Male,7408369
0-4,1,Female,7370343
5-9,0,Male,5933504
5-9,1,Female,5938069
10-14,0,Male,4865188
10-14,1,Female,4866635
15-19,0,Male,4146511
15-19,1,Female,4140541
20-24,0,Male,3435406
20-24,1,Female,3453285
25-29,0,Male,2828100
25-29,1,Female,2864296
30-34,0,Male,2255581
30-34,1,Female,2293055
35-39,0,Male,1782068
35-39,1,Female,1827877
40-44,0,Male,1514527
40-44,1,Female,1570706
45-49,0,Male,1278648
45-49,1,Female,1340298
50-54,0,Male,1029306
50-54,1,Female,1093345
55-59,0,Male,813379
55-59,1,Female,877889
60-64,0,Male,624078
60-64,1,Female,688823
65-69,0,Male,471902
65-69,1,Female,544570
70-74,0,Male,321255
70-74,1,Female,391660
75-79,0,Male,180251
75-79,1,Female,235088
80-84,0,Male,79641
80-84,1,Female,112994
85-89,0,Male,24754
85-89,1,Female,39685
90-94,0,Male,4436
90-94,1,Female,9236
95-99,0,Male,375
95-99,1,Female,1151
100+,0,Male,13
100+,1,Female,54
